name,category,price,img_url,url,product_id
Helix Whiteboard Marker Black 1 count,Stationery,0.5,https://mandcdrugstore.com/files/images/thumbs/8c7ea1c4a44c579d6c705558c2272d66.jpg,https://mandcdrugstore.com/products/12887,12887
Helix Whiteboard Pen Assorted 1 count,Stationery,0.5,https://mandcdrugstore.com/files/images/thumbs/8cedbbc5e98cee5909075a8f4ddc6930.jpg,https://mandcdrugstore.com/products/12889,12889
Helix Pencil Eraser 1 count,Stationery,0.75,https://mandcdrugstore.com/files/images/thumbs/59870f4bd1096d53c699dc1a8c02f07b.jpg,https://mandcdrugstore.com/products/12890,12890
Train Dragon Giant Color/Act,Stationery,3.0,https://mandcdrugstore.com/files/images/thumbs/4e6574afb82273cd279452a24a65d506.jpg,https://mandcdrugstore.com/products/12892,12892
Maped Paperclips  Jumbo 50mm,Stationery,7.0,https://mandcdrugstore.com/files/images/thumbs/7aadb1c2d8a2a7caf0925fa9bc2e5139.jpg,https://mandcdrugstore.com/products/12893,12893
Elmers Washable School Glue White 8oz,Stationery,14.5,https://mandcdrugstore.com/files/images/thumbs/6fdf6092d0a912b483aa030375162f97.jpg,https://mandcdrugstore.com/products/12895,12895
"Wescott Jelly Blunt Scissors For Kids 5""",Stationery,6.0,https://mandcdrugstore.com/files/images/thumbs/ae2855f26603b5ce7fc23db79f52e531.jpeg,https://mandcdrugstore.com/products/12896,12896
"Scholar Drawing Book 12x10"" 48pg",Stationery,3.0,https://mandcdrugstore.com/files/images/thumbs/61dfba67e76ae3ed08a73eaee0eeb7d4.jpg,https://mandcdrugstore.com/products/12898,12898
Brushes Aquarel 3pc,Stationery,5.0,https://mandcdrugstore.com/files/images/thumbs/3992505e4d475177079fbf322ae167aa.jpg,https://mandcdrugstore.com/products/12899,12899
"Bazic Graph Book 8.5"" x 11""",Stationery,7.0,https://mandcdrugstore.com/files/images/thumbs/6ca08cc37a757b0b0fcc9db9b0c61821.jpg,https://mandcdrugstore.com/products/12900,12900
Crayola Markers 10ct,Stationery,14.0,https://mandcdrugstore.com/files/images/thumbs/375cd86c99c59f31822c6b61573823f8.jpg,https://mandcdrugstore.com/products/12902,12902
GRAPH SHEETS 50'S,Stationery,4.01,https://mandcdrugstore.com/files/images/thumbs/5f3a11af2958bde64ca7068d0e9f3f2b.jpg,https://mandcdrugstore.com/products/12903,12903
Sargent Paint Poster Acrylic 6's,Stationery,19.0,https://mandcdrugstore.com/files/images/thumbs/f122f5e1a2da625989d13b2624f6750a.jpg,https://mandcdrugstore.com/products/12904,12904
Crayola Crayons 16's,Stationery,8.0,https://mandcdrugstore.com/files/images/thumbs/a0406ee71745611fbfe3915e9142d201.jpg,https://mandcdrugstore.com/products/12906,12906
Aveeno Baby Daily Moisture Lotion 12oz,Toiletries,40.01,https://mandcdrugstore.com/files/images/thumbs/58705bce1611270b56f1d0fe82cc7620.jpg,https://mandcdrugstore.com/products/12910,12910
School Binder Sheets Refills 100's,Stationery,4.0,https://mandcdrugstore.com/files/images/thumbs/e56722e20d62fe5a97e68cbca10dffcf.jpg,https://mandcdrugstore.com/products/12911,12911
Oral B Toothpaste Complete Fresh 75ml,Toiletries,8.0,https://mandcdrugstore.com/files/images/thumbs/1a867cbc76545950f2142b0125116487.jpg,https://mandcdrugstore.com/products/12913,12913
Oral-B Indicator Manual 1-2-3 Toothbrush Medium 1 pack,Toiletries,4.01,https://mandcdrugstore.com/files/images/thumbs/f31fe31dbea431c94e523da355e42a2c.jpg,https://mandcdrugstore.com/products/12919,12919
Oral B Toothpaste Complete White 75ml,Toiletries,8.0,https://mandcdrugstore.com/files/images/thumbs/89da5b5c96f9b86b36d65c86a2585381.jpg,https://mandcdrugstore.com/products/12920,12920
Olay Complete Essentials Night Cream 50ml,Cosmetics,40.01,https://mandcdrugstore.com/files/images/thumbs/35ded9a1866aa68270f9bf7b3b05ae1e.jpg,https://mandcdrugstore.com/products/12923,12923
Aveeno Baby Daily Care Moisturising Lotion 150ml,Toiletries,25.0,https://mandcdrugstore.com/files/images/thumbs/2308f7835a038aa3b9a3dd74acfa9b05.jpg,https://mandcdrugstore.com/products/12930,12930
Aveeno Daily Moisturizing Yogurt Body Lotion Vanilla & Oat 300ml,Toiletries,40.01,https://mandcdrugstore.com/files/images/thumbs/581874f18d5f7e0946c5576a64435585.jpg,https://mandcdrugstore.com/products/12932,12932
Aveeno Baby Gentle Bath Wash 400ml,Toiletries,29.0,https://mandcdrugstore.com/files/images/thumbs/30db28e4d8113eed7645bd317da07331.jpg,https://mandcdrugstore.com/products/12933,12933
Aveeno Baby Daily Care Hair & Body Wash 250ml,Toiletries,24.0,https://mandcdrugstore.com/files/images/thumbs/4ffa431ca995e8ee2ee64df730ab0bb2.jpg,https://mandcdrugstore.com/products/12934,12934
Aveeno Baby Calming Comfort Lotion 150ml,Toiletries,25.0,https://mandcdrugstore.com/files/images/thumbs/f1425ef1eaba4a2462aab5c8026c59aa.jpg,https://mandcdrugstore.com/products/12935,12935
Aveeno Daily Moist Body Lotion 100ml,Toiletries,15.0,https://mandcdrugstore.com/files/images/thumbs/eefe7a460a4a4738a44824201d359edc.jpg,https://mandcdrugstore.com/products/12936,12936
Wisdom Toothpaste Extra Clean 75ml,Toiletries,5.0,https://mandcdrugstore.com/files/images/thumbs/660a557717eecef0d85101e38ea77bfe.jpg,https://mandcdrugstore.com/products/12940,12940
Olay Anti-Wrinkle Firm Day Cream 50ml,Cosmetics,40.01,https://mandcdrugstore.com/files/images/thumbs/fde0bfd8b84a7f2aa0d136957fe28cf0.jpg,https://mandcdrugstore.com/products/12942,12942
Oral B Pro 500ml,Toiletries,14.0,https://mandcdrugstore.com/files/images/thumbs/f48ec430b45dc1b596d60d68c2170cd1.jpg,https://mandcdrugstore.com/products/12945,12945
Aveeno Daily Moisturizing Yogurt Body Wash Apricot 300ml,Toiletries,40.01,https://mandcdrugstore.com/files/images/thumbs/cfe95e6d9831de9f8fbe5ee5aa10cbe4.jpg,https://mandcdrugstore.com/products/12947,12947
Max Flush 5 Toilet Block Ocean 2x45g,Household,6.0,https://mandcdrugstore.com/files/images/thumbs/423f83e876bf46b0e0a47fbd7cfc080e.jpg,https://mandcdrugstore.com/products/12957,12957
Black Plastic Handle Bag 19x22,Miscellaneous,0.25,https://mandcdrugstore.com/files/images/thumbs/e9973bf34f60cf27ee05eccd6951f2b1.jpg,https://mandcdrugstore.com/products/12960,12960
Junior Artist Aniimals,Stationery,5.0,https://mandcdrugstore.com/files/images/thumbs/97554eb52fc64c3b323585ca097427a2.jpg,https://mandcdrugstore.com/products/12963,12963
Learn With Goose 3 Titles 123/Colours/Abc,Stationery,12.0,https://mandcdrugstore.com/files/images/thumbs/91ccbfc2e8666801ce9bda097bb6aad6.jpg,https://mandcdrugstore.com/products/12968,12968
Tell The Time Sticker Book,Stationery,13.0,https://mandcdrugstore.com/files/images/thumbs/d4b4373449285a0b96ac81aa8a7addb3.jpg,https://mandcdrugstore.com/products/12969,12969
Children's Book Of Manners,Stationery,12.0,https://mandcdrugstore.com/files/images/thumbs/22b419ecc8ddac67fa8b46f78e89a374.jpg,https://mandcdrugstore.com/products/12970,12970
DNR Classic Winged Nipple Medium 2pk,Babycare,1.0,https://mandcdrugstore.com/files/images/thumbs/3c6eb65ab34cae2ba7d186fba9485eec.jpg,https://mandcdrugstore.com/products/12972,12972
Evenflo Proflo Silcone Nipple Med Flow Bpa Free 2pk,Babycare,6.0,https://mandcdrugstore.com/files/images/thumbs/1230cb150afaee8e499a85304e8b400c.jpg,https://mandcdrugstore.com/products/12978,12978
Pampers Baby Nipple Stage 2 1 count,Babycare,6.0,https://mandcdrugstore.com/files/images/thumbs/436d0b213fb9e292f2cf3de513804c7e.jpg,https://mandcdrugstore.com/products/12979,12979
Pampers Baby Nipple Stage 3 1 count,Babycare,6.0,https://mandcdrugstore.com/files/images/thumbs/4dbbd55d886ed6efca5ffb3e144d1a04.jpg,https://mandcdrugstore.com/products/12980,12980
Pampers Stages Baby Nipple 1 count,Babycare,6.0,https://mandcdrugstore.com/files/images/thumbs/fe0a37f2828bd5b942076145ff0d7062.jpg,https://mandcdrugstore.com/products/12981,12981
Baby Bottles Assorted With Silicone Nipples 2oz,Babycare,5.0,https://mandcdrugstore.com/files/images/thumbs/728687811e07b9d54dbfbaadb1cffc5d.jpg,https://mandcdrugstore.com/products/12982,12982
Noted Neutrals Executive Journal 8X6,Stationery,15.0,https://mandcdrugstore.com/files/images/thumbs/38cc91d7a81b8e93fe665c99712ef6c4.jpg,https://mandcdrugstore.com/products/12993,12993
