name,price,category,ul,img
Nestle Sweet Condensed Milk 395G,$6.30,grocery-food,https://www.shopmassystoresslu.com/product/nestle-swt-condensed-milk-395g/,https://www.shopmassystoresslu.com/wp-content/uploads/0789100010800.jpg
People’s Choice White Sugar 2.27KG,$5.50,grocery-food,https://www.shopmassystoresslu.com/product/pchoice-gran-wht-sugar-2-27kg/,https://www.shopmassystoresslu.com/wp-content/uploads/coming-soon-43.png
Tostitos Medium Chnky Salsa Dip 439G,$13.95,grocery-food,https://www.shopmassystoresslu.com/product/dip-salsa-chunky-medium/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/03/0002840005598.jpg
Sunrise Soyabean Vegetable Oil 1L,$18.50,grocery-food,https://www.shopmassystoresslu.com/product/sunrise-soyabean-veg-oil-1l/,https://www.shopmassystoresslu.com/wp-content/uploads/0078909522441.jpg
Tenderoni Mac & Cheese Dinner 206G,$3.49,grocery-food,https://www.shopmassystoresslu.com/product/tenderoni-mac-chz-dinner-206g/,https://www.shopmassystoresslu.com/wp-content/uploads/0049990180101.jpg
Sunshine Cornflakes 650G,$14.70,grocery-food,https://www.shopmassystoresslu.com/product/sunshine-cornflakes-650g/,https://www.shopmassystoresslu.com/wp-content/uploads/0004003230007.jpg
Grace Chicken Vienna Sausage 140G,$3.55,grocery-food,https://www.shopmassystoresslu.com/product/grace-chicken-vienna-2/,https://www.shopmassystoresslu.com/wp-content/uploads/0005527085312.jpg
Turbo Plus Orange Drink Mix 35G,$1.35,grocery-food,https://www.shopmassystoresslu.com/product/turbo-plus-oran-powder-drnk-45g/,https://www.shopmassystoresslu.com/wp-content/uploads/0780161577110.jpg
Tulip Cocktail Sausages 125G,$5.35,grocery-food,https://www.shopmassystoresslu.com/product/tulip-cocktail-sausages-125g/,https://www.shopmassystoresslu.com/wp-content/uploads/0576238506441.jpg
Tulip Pork Luncheon Meat 200G,$6.90$5.99,grocery-food,https://www.shopmassystoresslu.com/product/tulip-jam-prk-lncheon-meat200g/,https://www.shopmassystoresslu.com/wp-content/uploads/0576238506322.jpg
Nature Valley Maple Brown Sugar 42G,$2.24,grocery-food,https://www.shopmassystoresslu.com/product/nat-val-granola-bar-map-brown-sugar/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/04/0001600026599.jpg
Cream Of Wheat Quick Red 340G,$15.99,grocery-food,https://www.shopmassystoresslu.com/product/cream-of-wheat-cereal-hot-12oz/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0001313000611.jpg
